ProductID,CAtomCount,TotalAtomCount,HAtomCount,Class,Predicted
612,36,60,16,low,low
613,20,46,17,low,low
614,18,44,20,low,low
615,28,56,21,low,low
616,32,66,28,low,low
617,24,53,24,low,low
618,30,60,23,low,low
619,33,68,33,low,low
620,19,46,19,low,low
621,22,47,17,low,low
622,19,35,12,low,low
623,32,66,27,low,low
624,20,45,20,low,low
625,7,15,8,low,low
626,13,33,15,low,low
627,10,18,4,low,low
628,22,44,17,low,low
629,37,76,33,low,low
630,19,43,18,low,low
631,26,53,19,low,low
632,28,50,20,low,low
633,19,47,22,low,low
634,29,78,34,low,low
635,22,50,22,low,low
636,23,46,16,low,low
637,16,40,18,low,low
638,32,68,24,low,low
639,13,25,9,low,low
640,52,111,46,low,low
641,20,42,19,low,low
642,76,148,64,low,low
643,44,82,34,low,low
644,17,46,22,low,low
645,15,38,17,low,low
646,25,73,31,low,low
647,18,40,15,low,low
648,44,80,34,low,low
649,33,69,31,low,low
650,12,24,7,low,low
651,46,85,34,low,low
652,13,30,14,low,low
653,19,36,14,low,low
654,46,96,47,low,low
655,15,37,16,low,low
656,40,103,49,high,high
657,62,126,62,low,low
658,14,32,8,low,low
659,29,73,37,high,high
660,34,68,29,low,low
661,23,45,19,low,low
662,16,31,12,low,low
663,28,56,21,low,low
664,60,109,42,low,low
665,24,46,19,low,low
666,37,75,26,low,low
667,27,65,32,low,low
668,12,25,10,low,low
669,18,36,11,low,low
670,28,56,24,low,low
671,19,38,14,low,low
672,21,50,22,high,low
673,86,170,82,low,low
674,44,95,42,high,low
675,34,56,22,low,low
676,16,40,18,low,low
677,14,26,8,low,low
678,17,33,13,low,low
679,17,32,11,low,low
680,35,73,37,low,low
681,25,50,20,low,low
682,18,42,19,low,low
683,17,42,19,low,low
684,75,159,79,low,low
685,21,45,19,high,high
686,20,39,16,low,low
687,28,52,20,low,low
688,17,32,11,low,low
689,64,148,70,high,low
690,23,48,19,low,low
691,34,73,34,high,high
692,24,49,18,low,low
693,46,92,37,low,low
694,16,41,19,low,low
695,26,65,29,low,low
696,6,16,8,low,low
697,24,54,24,low,low
698,52,116,59,low,low
699,34,72,30,low,low
700,56,118,34,low,low
701,32,66,32,low,low
702,66,114,45,high,low
703,16,42,13,low,low
704,42,86,37,low,low
705,26,64,31,low,low
706,12,22,7,low,low
707,20,36,13,low,low
708,39,106,48,high,high
709,17,36,14,low,low
710,116,208,90,high,low
711,28,59,29,low,low
712,29,56,23,low,low
713,46,98,45,low,low
714,7,15,6,low,low
715,17,39,21,low,low
716,18,39,16,low,low
717,15,29,10,low,low
718,19,40,15,low,low
719,29,63,34,low,low
720,21,43,17,low,low
721,33,87,41,low,low
722,24,49,18,low,low
723,15,32,14,low,low
724,17,30,8,low,low
725,36,58,20,low,low
726,44,98,42,high,low
727,26,64,31,low,low
728,22,50,21,high,high
729,63,111,42,low,low
730,42,111,66,low,low
731,14,36,14,low,low
732,31,65,29,low,low
733,36,63,19,low,low
734,21,55,24,low,low
735,30,65,26,low,low
736,23,43,18,low,low
737,35,87,39,low,low
738,22,45,17,low,low
739,42,89,39,low,low
740,38,85,37,low,low
741,20,44,18,low,low
742,18,43,23,low,low
743,17,42,15,low,low
744,39,106,48,high,high
745,64,132,62,low,low
746,21,38,16,low,low
747,12,22,10,low,low
748,28,53,21,low,low
749,52,93,31,low,low
750,16,38,16,low,low
751,10,18,6,low,low
752,51,102,48,high,low
753,38,82,38,high,high
754,16,39,21,low,low
755,26,49,19,low,low
756,19,50,27,low,low
757,44,87,39,low,low
758,52,104,46,low,low
759,21,49,18,high,high
760,37,76,30,low,low
761,11,23,8,low,low
762,35,65,23,low,low
763,28,62,28,low,low
764,26,54,23,low,low
765,13,30,14,low,low
766,19,35,13,low,low
767,72,120,48,low,low
768,39,81,35,low,low
769,51,95,34,low,low
770,14,27,8,low,low
771,72,158,78,high,low
772,42,80,33,low,low
773,18,38,16,low,low
774,32,78,36,high,low
775,14,34,18,low,low
776,28,52,17,high,high
777,40,86,36,low,low
778,15,31,12,low,low
779,54,117,57,low,low
780,16,34,11,low,low
781,10,20,7,low,low
782,23,59,26,low,low
783,39,80,35,high,high
784,42,84,40,low,low
785,25,50,20,low,low
786,22,50,22,low,low
787,20,40,14,high,low
788,17,36,15,high,low
789,36,80,40,low,low
790,29,78,42,low,low
791,11,21,8,low,low
792,11,25,8,low,low
793,14,36,17,low,low
794,21,47,18,high,high
795,17,42,17,low,low
796,35,61,26,low,low
797,24,49,17,low,low
798,27,51,18,low,low
799,29,66,29,low,low
800,37,92,48,low,high
801,16,30,8,low,low
802,40,90,44,low,low
803,28,67,32,low,low
804,37,73,30,low,low
805,40,84,38,low,low
806,19,43,17,low,low
807,21,41,17,low,low
808,28,62,28,low,low
809,7,15,6,low,low
810,11,24,8,low,low
811,27,59,29,low,low
812,21,57,23,low,low
813,29,69,33,low,low
814,20,46,22,low,low
815,25,46,16,low,low
816,26,48,21,high,high
817,53,99,42,low,low
818,39,84,40,low,low
819,25,63,37,low,low
820,20,55,30,low,low
821,28,58,23,low,low
822,32,74,32,low,low
823,33,72,28,low,low
824,15,36,13,low,low
825,34,64,23,low,low
826,40,110,50,low,low
827,38,73,32,low,low
828,21,38,16,low,low
829,31,73,33,low,low
830,19,38,14,low,low
831,26,50,20,low,low
832,14,32,15,low,low
833,23,41,17,low,low
834,20,42,14,low,low
835,4,9,4,low,low
836,34,68,26,low,low
837,30,57,26,low,low
838,19,42,17,low,low
839,28,50,18,low,low
840,46,111,47,high,high
841,53,101,39,low,low
842,32,71,30,low,low
843,16,34,12,low,low
844,14,32,14,low,low
845,41,84,37,low,low
846,19,49,24,low,low
847,28,62,28,low,low
848,29,65,28,low,low
849,16,32,9,low,low
850,37,70,29,low,low
851,21,45,20,low,low
852,13,38,20,low,low
853,54,124,66,low,low
854,30,52,20,low,low
855,21,47,20,low,low
856,22,50,18,low,low
857,32,89,43,low,low
858,33,73,32,low,low
859,18,34,9,low,low
860,18,48,25,low,low
861,13,35,14,low,low
862,66,114,45,low,low
863,35,62,20,low,low
864,18,34,10,low,low
865,19,35,14,low,low
866,44,86,34,low,low
867,23,47,24,low,low
868,55,105,50,low,low
869,15,32,13,low,low
870,45,80,31,low,low
871,24,52,19,low,low
872,9,23,12,low,low
873,16,26,10,low,low
874,50,94,40,low,low
875,31,63,25,low,low
876,40,79,25,low,low
877,25,50,20,low,low
878,21,47,18,high,high
879,20,37,13,low,low
880,39,96,43,high,high
881,16,29,9,low,low
882,15,37,15,low,low
883,13,23,8,low,low
884,29,61,27,low,low
885,15,31,13,low,low
886,23,48,22,low,low
887,29,64,31,low,low
888,11,27,14,low,low
889,32,72,29,low,low
890,16,35,16,low,low
891,20,42,20,low,low
892,27,53,20,low,low
893,28,51,15,low,low
894,26,51,23,low,low
895,33,60,24,low,low
896,14,27,11,low,low
897,18,36,11,low,low
898,34,73,34,high,high
899,26,62,30,low,low
900,26,49,19,low,low
901,21,42,18,low,low
902,13,27,12,low,low
903,36,60,16,low,low
904,15,36,13,low,low
905,11,21,8,low,low
906,20,40,14,low,low
907,26,53,19,low,low
908,33,78,33,low,low
909,44,82,16,low,low
910,13,30,14,low,low
911,20,47,23,low,low
912,76,148,64,low,low
913,42,107,51,high,high
914,18,32,11,low,low
915,18,38,18,low,low
916,20,37,12,low,low
917,80,181,90,low,low
918,26,62,30,low,low
919,35,79,36,low,low
920,9,16,6,low,low
921,19,41,21,low,low
922,36,90,38,low,low
923,16,36,10,high,low
924,33,80,25,low,low
925,36,91,46,high,high
926,13,32,15,low,low
927,14,35,15,low,low
928,69,147,74,low,low
929,38,100,60,low,low
930,38,84,39,low,low
931,34,62,24,low,low
932,25,51,20,low,low
933,18,34,15,low,low
934,51,95,39,low,low
935,36,91,46,high,high
936,10,25,10,low,low
937,18,36,10,low,low
938,42,74,27,low,low
939,33,74,32,low,low
940,16,31,11,low,low
941,39,79,33,low,low
942,21,38,11,low,low
943,31,64,27,low,low
944,36,66,28,low,low
945,126,229,94,low,low
946,47,95,45,low,low
947,46,76,28,low,low
948,25,57,25,low,low
949,35,79,36,low,low
950,21,40,15,low,low
951,48,85,32,low,low
952,40,87,42,low,low
953,12,32,12,low,low
954,28,62,29,low,low
955,24,52,19,low,low
956,38,84,36,low,low
957,23,59,26,low,low
958,28,51,17,low,low
959,45,97,45,low,low
960,30,63,28,low,low
961,21,38,12,low,low
962,15,30,13,low,low
